iter	Passed	Remaining
0	64	64473
1	144	72217
2	213	71081
3	278	69389
4	358	71283
5	433	71779
6	510	72478
7	585	72627
8	668	73662
9	744	73750
10	816	73419
11	894	73639
12	925	70245
13	994	70063
14	1069	70220
15	1147	70574
16	1202	69551
17	1279	69805
18	1349	69691
19	1429	70021
20	1503	70112
21	1577	70110
22	1651	70154
23	1729	70316
24	1801	70258
25	1874	70212
26	1954	70449
27	2035	70663
28	2106	70515
29	2133	68970
30	2207	69007
31	2285	69133
32	2363	69247
33	2444	69449
34	2516	69388
35	2589	69332
36	2664	69338
37	2738	69328
38	2813	69321
39	2889	69336
40	2962	69285
41	3033	69186
42	3104	69094
43	3188	69280
44	3268	69374
45	3350	69485
46	3418	69315
47	3499	69407
48	3572	69343
49	3649	69333
50	3728	69384
51	3808	69435
52	3887	69465
53	3961	69390
54	4049	69583
55	4132	69657
56	4231	70007
57	4312	70041
58	4389	70014
59	4468	70008
60	4538	69858
61	4610	69755
62	4702	69933
63	4785	69985
64	4855	69842
65	4930	69772
66	5037	70143
67	5112	70075
68	5179	69887
69	5267	69977
70	5350	70009
71	5437	70088
72	5515	70034
73	5581	69841
74	5661	69830
75	5770	70163
76	5847	70089
77	5920	69983
78	5993	69875
79	6077	69891
80	6153	69813
81	6237	69825
82	6305	69669
83	6367	69431
84	6437	69292
85	6512	69217
86	6595	69215
87	6678	69214
88	6706	68642
89	6786	68615
90	6863	68560
91	6937	68474
92	7008	68353
93	7083	68271
94	7153	68150
95	7221	68004
96	7284	67810
97	7351	67660
98	7425	67583
99	7506	67558
100	7589	67553
101	7667	67499
102	7746	67461
103	7828	67442
104	7905	67384
105	7990	67388
106	8069	67345
107	8141	67246
108	8226	67247
109	8302	67172
110	8374	67067
111	8446	66964
112	8525	66918
113	8605	66882
114	8689	66869
115	8731	66542
116	8810	66489
117	8884	66407
118	8965	66376
119	9036	66267
120	9109	66172
121	9173	66016
122	9251	65961
123	9333	65933
124	9414	65899
125	9496	65871
126	9538	65566
127	9609	65464
128	9680	65364
129	9760	65322
130	9843	65300
131	9922	65247
132	9997	65173
133	10078	65133
134	10160	65099
135	10234	65020
136	10307	64929
137	10384	64862
138	10463	64812
139	10545	64778
140	10625	64730
141	10707	64698
142	10786	64643
143	10864	64586
144	10946	64548
145	11026	64495
146	11107	64451
147	11189	64412
148	11266	64347
149	11348	64309
150	11418	64199
151	11495	64130
152	11585	64138
153	11671	64116
154	11753	64075
155	11800	63846
156	11875	63764
157	11955	63710
158	12037	63669
159	12118	63619
160	12201	63583
161	12277	63509
162	12305	63186
163	12385	63134
164	12460	63057
165	12492	62762
166	12573	62714
