iter	Logloss
0	0.6735251542
1	0.6523429543
2	0.6311895255
3	0.6157282982
4	0.5993321531
5	0.5817167559
6	0.5650383995
7	0.5520779605
8	0.5381607608
9	0.5269729595
10	0.5180350821
11	0.5038613849
12	0.4971047658
13	0.4883602685
14	0.4827702883
15	0.4739147392
16	0.4626026546
17	0.4546858846
18	0.4477652025
19	0.4396324902
20	0.4332846962
21	0.4228416056
22	0.418682245
23	0.4123849256
24	0.406501924
25	0.4007336384
26	0.396769522
27	0.3912481943
28	0.3860575408
29	0.3840695038
30	0.3795944202
31	0.3756754098
32	0.3708444239
33	0.3670707573
34	0.3637765331
35	0.3586958743
36	0.3557976102
37	0.3520868599
38	0.3475052173
39	0.3447113877
40	0.3430061649
41	0.3394739488
42	0.3361959956
43	0.3333620168
44	0.3306396962
45	0.3287823597
46	0.3247081378
47	0.3223892095
48	0.3209082713
49	0.3187490947
50	0.3167854099
51	0.315058237
52	0.3132145446
53	0.3112620853
54	0.3090081261
55	0.3067110291
56	0.3049124539
57	0.3025189014
58	0.2998341614
59	0.2981229932
60	0.2966462116
61	0.294748842
62	0.2924573569
63	0.2911255713
64	0.2896155526
65	0.2881856147
66	0.2875866632
67	0.2866425173
68	0.2849123242
69	0.2826017789
70	0.2818941635
71	0.279209963
72	0.2777337654
73	0.2763489661
74	0.2750326524
75	0.2737366658
76	0.2717934533
77	0.2708013217
78	0.2696439736
79	0.2676760568
80	0.2656264306
81	0.2645880134
82	0.263498359
83	0.2618772941
84	0.2608875346
85	0.259098441
86	0.257654355
87	0.2566706943
