iter	Logloss
0	0.6869456889
5	0.6590983697
10	0.6389153571
15	0.6223862207
20	0.6083408312
25	0.5947028792
30	0.5832729017
35	0.5748820539
40	0.5680683396
45	0.5604296602
50	0.5537273691
55	0.5481484095
60	0.5421374374
65	0.5374280121
70	0.5325064494
75	0.527936365
80	0.5236316535
85	0.5197928767
90	0.5156030549
95	0.5119060641
100	0.5081220394
105	0.5044306507
110	0.5005846313
115	0.4973540395
120	0.49387615
125	0.4908052957
130	0.4878134899
135	0.4854777502
140	0.4825537888
145	0.4799486215
149	0.4778046225
