iter	Passed	Remaining
0	17	2582
1	33	2488
2	51	2516
3	67	2478
4	82	2390
5	98	2374
6	114	2331
7	132	2343
8	147	2309
9	162	2276
10	180	2278
11	197	2270
12	213	2254
13	229	2227
14	247	2230
15	266	2234
16	284	2226
17	303	2223
18	320	2208
19	337	2195
20	355	2184
21	373	2171
22	391	2162
23	409	2152
24	429	2146
25	447	2134
26	463	2111
27	480	2094
28	499	2085
29	519	2079
30	539	2072
31	559	2063
32	579	2053
33	600	2047
34	618	2031
35	636	2016
36	654	1998
37	671	1979
38	695	1980
39	716	1969
40	735	1956
41	756	1944
42	772	1923
43	789	1902
44	814	1900
45	835	1888
46	856	1876
47	877	1865
48	897	1849
49	916	1833
50	935	1816
51	954	1798
52	973	1782
53	993	1767
54	1018	1759
55	1044	1753
56	1062	1733
57	1081	1714
58	1099	1696
59	1117	1676
60	1141	1665
61	1157	1642
62	1174	1622
63	1192	1602
64	1212	1585
65	1229	1564
66	1244	1542
67	1264	1524
68	1283	1507
69	1300	1486
70	1317	1465
71	1333	1444
72	1350	1424
73	1368	1405
74	1384	1384
75	1406	1369
76	1422	1348
77	1438	1327
78	1454	1307
79	1472	1288
80	1493	1271
81	1510	1252
82	1526	1231
83	1544	1213
84	1562	1195
85	1584	1179
86	1600	1159
87	1620	1141
88	1640	1124
89	1659	1106
90	1679	1088
91	1696	1069
92	1712	1049
93	1731	1031
94	1750	1013
95	1772	996
96	1791	978
97	1808	959
98	1830	943
99	1849	924
100	1868	906
101	1888	888
102	1907	870
103	1925	851
104	1944	833
105	1965	815
106	1984	797
107	2003	778
108	2022	760
109	2042	742
110	2062	724
111	2082	706
112	2099	687
113	2116	668
114	2135	649
115	2154	631
116	2173	612
117	2193	594
118	2213	576
119	2233	558
120	2253	540
121	2273	521
122	2292	503
123	2311	484
124	2331	466
125	2352	448
126	2374	430
127	2392	411
128	2413	392
129	2432	374
130	2451	355
131	2470	336
132	2489	318
133	2505	299
134	2522	280
135	2542	261
136	2561	243
137	2580	224
138	2597	205
139	2614	186
140	2635	168
141	2653	149
142	2673	130
143	2693	112
144	2712	93
145	2730	74
146	2748	56
147	2764	37
148	2781	18
149	2798	0
